model,rmse,mae,r2
LinearRegression,1.2697952071377587,0.9686546489842507,0.3744461398714879
RandomForest,1.2331408540032522,0.9400708846584545,0.41003980059363
NeuralNetwork,1.3029086114513406,0.9895986493642922,0.3413946558378913
