model,rmse,mae,r2,cv_rmse_mean,cv_rmse_std
LinearRegression,1.1397177701144732,0.8890160349892147,0.5289116493498067,1.1162758945471847,0.019507551567487694
RandomForest,1.0443432463275375,0.8087318500604594,0.6044565014210699,1.030468666749385,0.010453522996053859
NeuralNetwork,1.0465583486949799,0.8085706074549276,0.6027767882771091,1.0244169999383366,0.011164526089797665
