model,accuracy,precision,recall,f1,auc,cv_accuracy_mean,cv_accuracy_std
LogisticRegression,0.8423558897243107,0.8767841538013399,0.7828348504551366,0.8271503160208848,0.9135778024822198,0.8467996620880103,0.004087784611087817
SVM,0.8566416040100251,0.8839920386693204,0.8085825747724318,0.8446074436294485,0.915055875892151,0.8582662348727844,0.0038642393457204854
RandomForest,0.8538847117794486,0.8759472354757227,0.811703511053316,0.8426025917926566,0.9292662937938215,0.8578589667023584,0.0034422223427336275
